[2018-06-05 09:27:44 traclus_consumer.read_queue DEBUG =======>debug]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572083, 'LAT': 31.01137, 'TIME': '2018/01/01 01:25:18', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572133, 'LAT': 31.01135, 'TIME': '2018/01/01 01:33:29', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572101, 'LAT': 31.01136, 'TIME': '2018/01/01 01:41:36', 'V': 0.03, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572117, 'LAT': 31.01136, 'TIME': '2018/01/01 01:41:31', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572083, 'LAT': 31.0113567, 'TIME': '2018/01/01 01:45:37', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.457205, 'LAT': 31.01136, 'TIME': '2018/01/01 01:50:38', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.45721, 'LAT': 31.01135, 'TIME': '2018/01/01 01:54:44', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.45721, 'LAT': 31.0113567, 'TIME': '2018/01/01 01:58:44', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572083, 'LAT': 31.0113617, 'TIME': '2018/01/01 02:06:51', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572067, 'LAT': 31.0113567, 'TIME': '2018/01/01 02:14:25', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
